CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.421875 1560017519.5192
MEM 13.378906 1560017519.6201
MEM 21.281250 1560017519.7201
MEM 27.281250 1560017519.8202
MEM 32.187500 1560017519.9202
MEM 41.675781 1560017520.0202
MEM 48.277344 1560017520.1208
MEM 48.277344 1560017520.2208
MEM 48.277344 1560017520.3209
MEM 48.277344 1560017520.4209
MEM 48.277344 1560017520.5218
MEM 48.285156 1560017520.6228
MEM 47.609375 1560017520.7228
MEM 51.761719 1560017520.8229
MEM 60.117188 1560017520.9238
MEM 64.554688 1560017521.0248
MEM 69.375000 1560017521.1250
MEM 74.195312 1560017521.2260
MEM 76.320312 1560017521.3262
MEM 76.472656 1560017521.4262
MEM 76.800781 1560017521.5272
MEM 86.070312 1560017521.6275
MEM 89.101562 1560017521.7276
MEM 110.085938 1560017521.8276
MEM 154.781250 1560017521.9276
MEM 195.859375 1560017522.0282
MEM 201.265625 1560017522.1283
MEM 202.898438 1560017522.2293
MEM 204.320312 1560017522.3303
MEM 205.628906 1560017522.4312
MEM 209.429688 1560017522.5317
MEM 211.769531 1560017522.6318
MEM 213.390625 1560017522.7328
MEM 214.316406 1560017522.8338
MEM 215.859375 1560017522.9344
MEM 218.328125 1560017523.0354
MEM 220.492188 1560017523.1364
MEM 221.660156 1560017523.2369
MEM 223.027344 1560017523.3379
MEM 227.812500 1560017523.4389
MEM 230.496094 1560017523.5399
MEM 236.324219 1560017523.6399
MEM 237.699219 1560017523.7399
MEM 239.125000 1560017523.8399
MEM 240.300781 1560017523.9409
MEM 243.136719 1560017524.0413
MEM 244.750000 1560017524.1423
MEM 246.109375 1560017524.2424
MEM 247.285156 1560017524.3429
MEM 249.425781 1560017524.4439
MEM 250.714844 1560017524.5449
MEM 250.718750 1560017524.6459
MEM 251.308594 1560017524.7469
MEM 253.472656 1560017524.8479
MEM 255.304688 1560017524.9479
MEM 257.507812 1560017525.0489
MEM 260.253906 1560017525.1499
MEM 266.851562 1560017525.2499
MEM 266.855469 1560017525.3504
MEM 269.042969 1560017525.4504
MEM 283.628906 1560017525.5506
MEM 293.304688 1560017525.6507
MEM 283.789062 1560017525.7507
MEM 281.921875 1560017525.8517
MEM 282.886719 1560017525.9517
MEM 282.886719 1560017526.0527
MEM 283.554688 1560017526.1537
MEM 284.890625 1560017526.2537
MEM 285.031250 1560017526.3546
MEM 286.777344 1560017526.4547
MEM 288.906250 1560017526.5547
MEM 289.800781 1560017526.6547
MEM 292.425781 1560017526.7548
MEM 293.117188 1560017526.8548
MEM 294.160156 1560017526.9548
MEM 295.574219 1560017527.0558
MEM 296.199219 1560017527.1558
MEM 297.089844 1560017527.2559
MEM 298.320312 1560017527.3568
MEM 300.753906 1560017527.4569
MEM 302.179688 1560017527.5579
MEM 303.402344 1560017527.6588
MEM 304.769531 1560017527.7598
MEM 305.765625 1560017527.8599
MEM 306.992188 1560017527.9608
MEM 308.824219 1560017528.0608
MEM 309.550781 1560017528.1609
MEM 310.523438 1560017528.2609
MEM 311.671875 1560017528.3618
MEM 312.039062 1560017528.4618
MEM 312.492188 1560017528.5629
MEM 313.570312 1560017528.6629
MEM 313.828125 1560017528.7629
MEM 314.222656 1560017528.8639
MEM 314.226562 1560017528.9648
MEM 314.246094 1560017529.0659
MEM 314.621094 1560017529.1668
MEM 315.074219 1560017529.2668
MEM 315.617188 1560017529.3669
MEM 316.683594 1560017529.4678
MEM 317.156250 1560017529.5689
MEM 317.804688 1560017529.6698
MEM 317.867188 1560017529.7699
MEM 319.058594 1560017529.8699
MEM 319.652344 1560017529.9709
MEM 328.296875 1560017530.0718
MEM 333.214844 1560017530.1718
MEM 332.460938 1560017530.2719
MEM 332.722656 1560017530.3719
MEM 329.890625 1560017530.4728
MEM 329.929688 1560017530.5728
MEM 335.062500 1560017530.6738
MEM 336.121094 1560017530.7746
MEM 337.335938 1560017530.8756
MEM 339.242188 1560017530.9756
MEM 341.492188 1560017531.0766
MEM 344.539062 1560017531.1766
MEM 329.085938 1560017531.2777
MEM 337.347656 1560017531.3786
MEM 314.714844 1560017531.4787
MEM 318.320312 1560017531.5796
MEM 320.257812 1560017531.6796
MEM 321.445312 1560017531.7799
MEM 322.660156 1560017531.8808
MEM 324.460938 1560017531.9809
MEM 325.183594 1560017532.0818
MEM 325.183594 1560017532.1821
MEM 329.089844 1560017532.2831
MEM 333.160156 1560017532.3841
MEM 336.343750 1560017532.4841
MEM 337.011719 1560017532.5851
MEM 342.597656 1560017532.6851
MEM 345.902344 1560017532.7851
MEM 348.042969 1560017532.8860
MEM 351.453125 1560017532.9870
MEM 354.363281 1560017533.0870
MEM 337.789062 1560017533.1880
MEM 324.390625 1560017533.2880
MEM 336.082031 1560017533.3881
MEM 337.261719 1560017533.4887
MEM 348.667969 1560017533.5892
MEM 354.160156 1560017533.6892
MEM 357.246094 1560017533.7897
MEM 362.386719 1560017533.8897
MEM 363.285156 1560017533.9897
MEM 366.632812 1560017534.0898
MEM 369.878906 1560017534.1908
MEM 376.664062 1560017534.2908
MEM 385.585938 1560017534.3918
MEM 384.750000 1560017534.4928
MEM 386.558594 1560017534.5929
MEM 389.910156 1560017534.6938
MEM 371.613281 1560017534.7948
MEM 357.929688 1560017534.8949
MEM 361.742188 1560017534.9950
MEM 365.445312 1560017535.0959
MEM 373.375000 1560017535.1960
MEM 380.476562 1560017535.2960
MEM 381.179688 1560017535.3969
MEM 388.105469 1560017535.4969
MEM 393.417969 1560017535.5969
MEM 411.644531 1560017535.6970
MEM 408.035156 1560017535.7970
MEM 408.917969 1560017535.8972
MEM 410.476562 1560017535.9976
MEM 413.609375 1560017536.0982
MEM 415.066406 1560017536.1986
MEM 417.070312 1560017536.2991
MEM 419.605469 1560017536.3996
MEM 421.355469 1560017536.4997
MEM 425.066406 1560017536.5997
MEM 425.621094 1560017536.6997
MEM 427.917969 1560017536.7997
MEM 430.152344 1560017536.9007
MEM 433.117188 1560017537.0007
MEM 434.359375 1560017537.1017
MEM 434.976562 1560017537.2017
MEM 438.109375 1560017537.3017
MEM 438.109375 1560017537.4027
MEM 440.960938 1560017537.5037
MEM 442.628906 1560017537.6040
MEM 443.730469 1560017537.7040
MEM 445.859375 1560017537.8050
MEM 422.371094 1560017537.9050
MEM 423.582031 1560017538.0050
MEM 424.039062 1560017538.1060
MEM 424.867188 1560017538.2070
MEM 426.542969 1560017538.3070
MEM 428.019531 1560017538.4080
MEM 429.492188 1560017538.5080
MEM 431.402344 1560017538.6080
MEM 432.964844 1560017538.7080
MEM 439.628906 1560017538.8090
MEM 448.675781 1560017538.9100
MEM 458.378906 1560017539.0104
MEM 459.128906 1560017539.1104
MEM 459.132812 1560017539.2114
MEM 459.132812 1560017539.3115
MEM 459.140625 1560017539.4124
MEM 459.140625 1560017539.5125
MEM 459.140625 1560017539.6134
MEM 459.140625 1560017539.7135
MEM 459.140625 1560017539.8144
MEM 459.140625 1560017539.9144
MEM 459.140625 1560017540.0145
MEM 459.140625 1560017540.1154
MEM 459.140625 1560017540.2154
MEM 459.160156 1560017540.3161
MEM 459.175781 1560017540.4161
MEM 459.175781 1560017540.5171
MEM 459.175781 1560017540.6171
MEM 459.175781 1560017540.7181
MEM 459.175781 1560017540.8191
MEM 459.175781 1560017540.9201
MEM 459.175781 1560017541.0201
MEM 459.175781 1560017541.1207
MEM 459.175781 1560017541.2217
MEM 459.175781 1560017541.3217
MEM 459.175781 1560017541.4227
MEM 459.175781 1560017541.5237
MEM 459.175781 1560017541.6237
MEM 459.175781 1560017541.7244
MEM 459.175781 1560017541.8254
MEM 459.175781 1560017541.9259
MEM 459.175781 1560017542.0260
MEM 459.175781 1560017542.1269
MEM 459.175781 1560017542.2269
MEM 459.179688 1560017542.3269
MEM 459.179688 1560017542.4279
MEM 459.179688 1560017542.5279
MEM 459.179688 1560017542.6289
MEM 459.179688 1560017542.7299
MEM 459.242188 1560017542.8309
MEM 459.242188 1560017542.9309
MEM 459.242188 1560017543.0310
