CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.738281 1561745944.9890
MEM 12.390625 1561745945.0971
MEM 18.472656 1561745945.2050
MEM 24.691406 1561745945.3120
MEM 29.066406 1561745945.4196
MEM 34.964844 1561745945.5290
MEM 41.523438 1561745945.6430
MEM 47.406250 1561745945.7497
MEM 47.406250 1561745945.8570
MEM 47.406250 1561745945.9665
MEM 47.406250 1561745946.0745
MEM 47.406250 1561745946.1845
MEM 47.406250 1561745946.2910
MEM 47.414062 1561745946.3985
MEM 48.835938 1561745946.5045
MEM 51.207031 1561745946.6125
MEM 57.128906 1561745946.7195
MEM 63.210938 1561745946.8282
MEM 66.238281 1561745946.9360
MEM 70.234375 1561745947.0431
MEM 74.710938 1561745947.1500
MEM 75.652344 1561745947.2561
MEM 76.667969 1561745947.3620
MEM 78.566406 1561745947.4712
MEM 82.664062 1561745947.5791
MEM 89.230469 1561745947.6852
MEM 110.371094 1561745947.7940
MEM 113.339844 1561745947.9012
MEM 114.984375 1561745948.0100
MEM 115.714844 1561745948.1172
MEM 116.546875 1561745948.2251
MEM 117.324219 1561745948.3319
MEM 119.527344 1561745948.4382
MEM 119.609375 1561745948.5462
MEM 125.117188 1561745948.6530
MEM 127.578125 1561745948.7601
MEM 130.820312 1561745948.8672
MEM 131.511719 1561745948.9742
MEM 134.097656 1561745949.0827
MEM 146.480469 1561745949.1911
MEM 147.734375 1561745949.2987
MEM 149.300781 1561745949.4063
MEM 150.082031 1561745949.5124
MEM 150.664062 1561745949.6192
MEM 151.175781 1561745949.7283
MEM 151.613281 1561745949.8361
MEM 152.460938 1561745949.9437
MEM 152.589844 1561745950.0521
MEM 152.589844 1561745950.1621
MEM 152.828125 1561745950.2746
MEM 153.046875 1561745950.3851
MEM 153.242188 1561745950.4939
MEM 153.511719 1561745950.6015
MEM 153.550781 1561745950.7092
MEM 153.773438 1561745950.8155
MEM 154.718750 1561745950.9221
MEM 155.746094 1561745951.0293
MEM 157.972656 1561745951.1374
MEM 162.007812 1561745951.2445
MEM 170.058594 1561745951.3516
MEM 170.781250 1561745951.4593
MEM 163.855469 1561745951.5661
MEM 167.343750 1561745951.6722
MEM 173.042969 1561745951.7785
