CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.738281 1561745463.0120
MEM 12.527344 1561745463.1199
MEM 19.859375 1561745463.2268
MEM 26.027344 1561745463.3359
MEM 30.011719 1561745463.4423
MEM 37.984375 1561745463.5524
MEM 45.402344 1561745463.6620
MEM 47.328125 1561745463.7699
MEM 47.328125 1561745463.8769
MEM 47.328125 1561745463.9849
MEM 47.328125 1561745464.0929
MEM 47.328125 1561745464.2029
MEM 47.335938 1561745464.3120
MEM 47.335938 1561745464.4219
MEM 48.328125 1561745464.5298
MEM 51.027344 1561745464.6384
MEM 56.136719 1561745464.7462
MEM 62.546875 1561745464.8533
MEM 66.160156 1561745464.9602
MEM 70.562500 1561745465.0686
MEM 74.761719 1561745465.1766
MEM 75.171875 1561745465.2845
MEM 79.441406 1561745465.3916
MEM 76.554688 1561745465.4991
MEM 85.824219 1561745465.6102
MEM 86.574219 1561745465.7177
MEM 104.953125 1561745465.8244
MEM 150.394531 1561745465.9345
MEM 165.871094 1561745466.0423
MEM 166.648438 1561745466.1513
MEM 170.511719 1561745466.2601
MEM 172.554688 1561745466.3678
MEM 173.398438 1561745466.4759
MEM 176.308594 1561745466.5856
MEM 180.171875 1561745466.6953
MEM 180.699219 1561745466.8041
MEM 184.906250 1561745466.9163
MEM 190.359375 1561745467.0249
MEM 193.562500 1561745467.1348
MEM 197.597656 1561745467.2424
MEM 201.183594 1561745467.3522
MEM 201.773438 1561745467.4613
MEM 203.730469 1561745467.5697
MEM 205.230469 1561745467.6786
MEM 205.906250 1561745467.7867
MEM 208.929688 1561745467.9036
MEM 212.199219 1561745468.0136
MEM 212.667969 1561745468.1218
MEM 214.363281 1561745468.2295
MEM 216.289062 1561745468.3368
MEM 220.839844 1561745468.4448
MEM 222.937500 1561745468.5550
MEM 234.910156 1561745468.6645
MEM 238.421875 1561745468.7728
MEM 238.976562 1561745468.8819
MEM 239.906250 1561745468.9904
MEM 240.484375 1561745469.0995
MEM 241.515625 1561745469.2074
MEM 242.339844 1561745469.3153
MEM 245.644531 1561745469.4231
MEM 246.636719 1561745469.5335
MEM 247.234375 1561745469.6416
MEM 248.578125 1561745469.7486
MEM 249.898438 1561745469.8548
MEM 251.492188 1561745469.9656
MEM 251.746094 1561745470.0735
MEM 253.664062 1561745470.1830
MEM 254.316406 1561745470.2927
MEM 254.613281 1561745470.3996
MEM 255.566406 1561745470.5078
MEM 256.617188 1561745470.6159
MEM 257.023438 1561745470.7255
MEM 257.035156 1561745470.8345
MEM 257.230469 1561745470.9419
MEM 257.679688 1561745471.0502
MEM 258.207031 1561745471.1589
MEM 259.109375 1561745471.2697
MEM 259.109375 1561745471.3775
MEM 259.796875 1561745471.4868
MEM 264.839844 1561745471.5957
MEM 276.015625 1561745471.7038
MEM 275.816406 1561745471.8126
MEM 277.445312 1561745471.9197
MEM 269.312500 1561745472.0267
MEM 271.636719 1561745472.1336
MEM 280.480469 1561745472.2416
MEM 284.703125 1561745472.3517
MEM 287.046875 1561745472.4586
MEM 291.710938 1561745472.5670
MEM 291.714844 1561745472.6748
MEM 295.281250 1561745472.7841
MEM 298.714844 1561745472.8918
MEM 303.031250 1561745472.9986
MEM 307.261719 1561745473.1057
MEM 282.246094 1561745473.2119
MEM 284.734375 1561745473.3194
MEM 287.933594 1561745473.4288
MEM 290.308594 1561745473.5383
MEM 290.386719 1561745473.6465
MEM 292.917969 1561745473.7551
MEM 296.718750 1561745473.8628
MEM 303.734375 1561745473.9707
MEM 306.082031 1561745474.0768
MEM 309.894531 1561745474.1847
MEM 310.980469 1561745474.2927
MEM 319.273438 1561745474.4003
MEM 321.085938 1561745474.5086
MEM 325.847656 1561745474.6177
MEM 331.648438 1561745474.7269
MEM 334.328125 1561745474.8361
MEM 337.656250 1561745474.9446
MEM 309.156250 1561745475.0516
MEM 313.453125 1561745475.1607
MEM 318.152344 1561745475.2683
MEM 320.089844 1561745475.3763
MEM 322.878906 1561745475.4829
MEM 330.347656 1561745475.5909
MEM 332.726562 1561745475.6986
MEM 337.503906 1561745475.8060
MEM 343.750000 1561745475.9136
MEM 346.019531 1561745476.0217
MEM 357.132812 1561745476.1296
MEM 361.863281 1561745476.2387
MEM 367.390625 1561745476.3456
MEM 372.531250 1561745476.4537
MEM 381.050781 1561745476.5659
MEM 394.953125 1561745476.6739
MEM 408.035156 1561745476.7806
MEM 425.453125 1561745476.8867
MEM 439.609375 1561745476.9939
MEM 447.589844 1561745477.1030
MEM 449.425781 1561745477.2108
MEM 451.562500 1561745477.3178
MEM 453.949219 1561745477.4239
MEM 455.511719 1561745477.5307
MEM 457.667969 1561745477.6378
MEM 431.238281 1561745477.7457
MEM 433.656250 1561745477.8542
MEM 434.867188 1561745477.9659
MEM 436.421875 1561745478.0726
MEM 437.621094 1561745478.1793
MEM 439.332031 1561745478.2868
MEM 439.855469 1561745478.3958
MEM 441.058594 1561745478.5026
MEM 441.996094 1561745478.6098
MEM 443.902344 1561745478.7188
MEM 446.722656 1561745478.8267
MEM 448.203125 1561745478.9359
MEM 450.019531 1561745479.0438
MEM 452.214844 1561745479.1498
MEM 455.250000 1561745479.2578
MEM 457.078125 1561745479.3647
MEM 459.175781 1561745479.4721
MEM 460.441406 1561745479.5809
MEM 463.488281 1561745479.6880
MEM 464.742188 1561745479.7950
MEM 466.609375 1561745479.9028
MEM 468.113281 1561745480.0091
MEM 470.722656 1561745480.1162
MEM 480.359375 1561745480.2240
MEM 489.769531 1561745480.3314
MEM 495.039062 1561745480.4377
MEM 495.039062 1561745480.5448
MEM 495.039062 1561745480.6513
MEM 495.042969 1561745480.7591
MEM 495.050781 1561745480.8665
MEM 495.050781 1561745480.9751
MEM 495.050781 1561745481.0840
MEM 495.050781 1561745481.1918
MEM 495.050781 1561745481.2999
MEM 495.050781 1561745481.4087
MEM 495.050781 1561745481.5173
MEM 495.050781 1561745481.6243
MEM 495.050781 1561745481.7329
MEM 495.085938 1561745481.8400
MEM 495.085938 1561745481.9478
MEM 495.085938 1561745482.0548
MEM 495.085938 1561745482.1628
MEM 495.089844 1561745482.2705
MEM 495.089844 1561745482.3795
MEM 495.089844 1561745482.4868
MEM 495.089844 1561745482.5938
MEM 495.089844 1561745482.7008
MEM 495.089844 1561745482.8073
MEM 495.089844 1561745482.9138
MEM 496.761719 1561745483.0222
MEM 506.316406 1561745483.1283
MEM 516.156250 1561745483.2343
MEM 520.050781 1561745483.3411
MEM 520.050781 1561745483.4474
MEM 520.050781 1561745483.5559
MEM 520.050781 1561745483.6643
MEM 520.050781 1561745483.7711
MEM 520.054688 1561745483.8781
MEM 520.054688 1561745483.9859
MEM 520.628906 1561745484.0929
MEM 520.648438 1561745484.1993
MEM 520.648438 1561745484.3061
MEM 520.648438 1561745484.4123
MEM 520.652344 1561745484.5204
MEM 520.652344 1561745484.6280
MEM 524.957031 1561745484.7342
MEM 542.441406 1561745484.8412
MEM 544.097656 1561745484.9478
MEM 543.707031 1561745485.0557
MEM 548.031250 1561745485.1632
MEM 568.734375 1561745485.2711
MEM 568.734375 1561745485.3780
MEM 579.988281 1561745485.4873
MEM 595.437500 1561745485.5949
MEM 605.464844 1561745485.7032
MEM 607.683594 1561745485.8114
MEM 609.617188 1561745485.9200
MEM 613.039062 1561745486.0280
MEM 613.546875 1561745486.1362
MEM 617.703125 1561745486.2448
MEM 622.253906 1561745486.3531
MEM 623.250000 1561745486.4611
MEM 627.125000 1561745486.5700
MEM 633.796875 1561745486.6773
MEM 634.304688 1561745486.7871
MEM 611.804688 1561745486.8939
MEM 616.664062 1561745487.0020
MEM 617.593750 1561745487.1081
MEM 617.847656 1561745487.2141
MEM 618.148438 1561745487.3209
MEM 618.453125 1561745487.4286
MEM 618.562500 1561745487.5353
MEM 618.746094 1561745487.6430
MEM 619.027344 1561745487.7490
MEM 619.328125 1561745487.8595
MEM 619.628906 1561745487.9680
MEM 620.003906 1561745488.0768
MEM 620.277344 1561745488.1853
MEM 620.601562 1561745488.2942
MEM 620.972656 1561745488.4031
MEM 622.937500 1561745488.5099
MEM 637.984375 1561745488.6186
MEM 651.796875 1561745488.7293
MEM 668.300781 1561745488.8376
MEM 659.996094 1561745488.9449
MEM 662.562500 1561745489.0543
MEM 664.039062 1561745489.1635
MEM 665.667969 1561745489.2704
