CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.421875 1560018978.8340
MEM 13.277344 1560018978.9350
MEM 21.050781 1560018979.0360
MEM 27.339844 1560018979.1360
MEM 32.437500 1560018979.2370
MEM 42.410156 1560018979.3380
MEM 47.875000 1560018979.4380
MEM 47.875000 1560018979.5380
MEM 47.875000 1560018979.6380
MEM 47.875000 1560018979.7390
MEM 47.882812 1560018979.8390
MEM 47.882812 1560018979.9400
MEM 48.554688 1560018980.0410
MEM 54.558594 1560018980.1410
MEM 61.734375 1560018980.2420
MEM 66.492188 1560018980.3430
MEM 71.953125 1560018980.4440
MEM 76.136719 1560018980.5440
MEM 76.265625 1560018980.6450
MEM 80.109375 1560018980.7450
MEM 76.621094 1560018980.8453
MEM 82.496094 1560018980.9460
MEM 85.910156 1560018981.0463
MEM 94.296875 1560018981.1463
MEM 131.812500 1560018981.2473
MEM 137.246094 1560018981.3480
MEM 138.289062 1560018981.4481
MEM 139.726562 1560018981.5481
MEM 139.812500 1560018981.6481
MEM 143.105469 1560018981.7491
MEM 145.113281 1560018981.8491
MEM 144.816406 1560018981.9494
MEM 148.011719 1560018982.0494
MEM 151.011719 1560018982.1494
MEM 151.386719 1560018982.2495
MEM 155.320312 1560018982.3505
MEM 156.644531 1560018982.4505
MEM 157.289062 1560018982.5505
MEM 158.335938 1560018982.6515
MEM 159.718750 1560018982.7518
MEM 161.703125 1560018982.8528
MEM 163.066406 1560018982.9529
MEM 164.601562 1560018983.0539
MEM 165.546875 1560018983.1539
MEM 168.511719 1560018983.2540
MEM 169.882812 1560018983.3549
MEM 170.406250 1560018983.4550
MEM 172.296875 1560018983.5550
MEM 185.937500 1560018983.6560
MEM 195.628906 1560018983.7560
MEM 179.835938 1560018983.8560
MEM 181.109375 1560018983.9570
MEM 183.605469 1560018984.0570
MEM 182.957031 1560018984.1580
MEM 184.460938 1560018984.2580
MEM 185.441406 1560018984.3590
MEM 187.058594 1560018984.4600
MEM 187.664062 1560018984.5600
MEM 188.550781 1560018984.6610
MEM 188.464844 1560018984.7620
MEM 188.464844 1560018984.8630
MEM 189.839844 1560018984.9630
MEM 190.464844 1560018985.0640
MEM 190.917969 1560018985.1650
