CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.421875 1560017863.1126
MEM 13.343750 1560017863.2126
MEM 21.039062 1560017863.3127
MEM 27.371094 1560017863.4128
MEM 32.328125 1560017863.5138
MEM 41.675781 1560017863.6139
MEM 48.277344 1560017863.7149
MEM 48.277344 1560017863.8159
MEM 48.277344 1560017863.9159
MEM 48.277344 1560017864.0159
MEM 48.277344 1560017864.1169
MEM 48.277344 1560017864.2169
MEM 48.285156 1560017864.3179
MEM 48.890625 1560017864.4179
MEM 54.152344 1560017864.5179
MEM 61.128906 1560017864.6189
MEM 65.703125 1560017864.7197
MEM 69.382812 1560017864.8203
MEM 75.023438 1560017864.9213
MEM 76.351562 1560017865.0214
MEM 77.285156 1560017865.1221
MEM 77.058594 1560017865.2224
MEM 81.117188 1560017865.3229
MEM 85.347656 1560017865.4239
MEM 85.503906 1560017865.5249
MEM 113.929688 1560017865.6249
MEM 130.042969 1560017865.7259
MEM 130.968750 1560017865.8263
MEM 133.625000 1560017865.9263
MEM 133.660156 1560017866.0264
MEM 136.035156 1560017866.1274
MEM 137.722656 1560017866.2278
MEM 138.691406 1560017866.3282
MEM 140.621094 1560017866.4282
MEM 142.031250 1560017866.5283
MEM 144.894531 1560017866.6292
MEM 145.933594 1560017866.7293
MEM 146.273438 1560017866.8293
MEM 148.242188 1560017866.9293
MEM 149.683594 1560017867.0293
MEM 150.562500 1560017867.1303
MEM 150.773438 1560017867.2305
MEM 151.742188 1560017867.3305
MEM 153.257812 1560017867.4315
MEM 155.562500 1560017867.5325
MEM 158.097656 1560017867.6335
MEM 159.687500 1560017867.7345
MEM 160.617188 1560017867.8355
MEM 162.472656 1560017867.9365
MEM 176.082031 1560017868.0375
MEM 176.234375 1560017868.1385
MEM 168.085938 1560017868.2385
MEM 170.171875 1560017868.3385
MEM 170.648438 1560017868.4395
MEM 173.300781 1560017868.5405
MEM 175.890625 1560017868.6405
MEM 173.992188 1560017868.7415
MEM 175.992188 1560017868.8421
MEM 177.925781 1560017868.9422
MEM 178.550781 1560017869.0428
MEM 176.890625 1560017869.1438
MEM 179.449219 1560017869.2448
MEM 178.214844 1560017869.3448
MEM 179.148438 1560017869.4458
MEM 179.902344 1560017869.5458
MEM 179.964844 1560017869.6468
MEM 179.980469 1560017869.7468
MEM 180.324219 1560017869.8469
MEM 180.328125 1560017869.9479
MEM 180.335938 1560017870.0479
MEM 181.246094 1560017870.1489
MEM 181.390625 1560017870.2489
MEM 184.199219 1560017870.3499
MEM 185.535156 1560017870.4509
MEM 193.359375 1560017870.5509
MEM 195.218750 1560017870.6509
MEM 186.605469 1560017870.7520
MEM 191.285156 1560017870.8530
MEM 194.457031 1560017870.9539
MEM 196.300781 1560017871.0540
MEM 200.203125 1560017871.1549
MEM 202.667969 1560017871.2550
MEM 204.882812 1560017871.3559
MEM 208.781250 1560017871.4570
MEM 210.531250 1560017871.5580
MEM 214.710938 1560017871.6590
MEM 215.203125 1560017871.7590
MEM 218.703125 1560017871.8600
MEM 221.972656 1560017871.9609
MEM 224.113281 1560017872.0619
MEM 227.394531 1560017872.1627
MEM 231.230469 1560017872.2637
MEM 236.292969 1560017872.3647
MEM 239.175781 1560017872.4647
MEM 244.636719 1560017872.5658
MEM 247.933594 1560017872.6658
MEM 215.750000 1560017872.7667
MEM 220.121094 1560017872.8667
MEM 222.648438 1560017872.9669
MEM 224.714844 1560017873.0679
MEM 229.054688 1560017873.1680
MEM 226.167969 1560017873.2680
MEM 228.882812 1560017873.3690
MEM 230.027344 1560017873.4700
MEM 231.312500 1560017873.5700
MEM 232.550781 1560017873.6710
MEM 241.339844 1560017873.7720
MEM 271.992188 1560017873.8730
MEM 274.023438 1560017873.9730
MEM 275.136719 1560017874.0740
MEM 276.347656 1560017874.1750
MEM 278.386719 1560017874.2750
MEM 279.882812 1560017874.3750
MEM 281.191406 1560017874.4760
MEM 282.855469 1560017874.5770
MEM 282.855469 1560017874.6770
MEM 283.949219 1560017874.7780
MEM 286.000000 1560017874.8780
MEM 288.335938 1560017874.9790
MEM 289.183594 1560017875.0800
MEM 291.378906 1560017875.1810
MEM 293.398438 1560017875.2810
MEM 295.769531 1560017875.3820
MEM 297.023438 1560017875.4830
MEM 302.628906 1560017875.5840
MEM 311.199219 1560017875.6843
MEM 320.140625 1560017875.7853
MEM 322.761719 1560017875.8859
MEM 322.761719 1560017875.9869
MEM 322.761719 1560017876.0869
MEM 322.761719 1560017876.1869
MEM 322.765625 1560017876.2879
MEM 322.765625 1560017876.3889
MEM 322.765625 1560017876.4892
