CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.460938 1560018102.0317
MEM 12.867188 1560018102.1322
MEM 20.253906 1560018102.2333
MEM 26.574219 1560018102.3343
MEM 30.992188 1560018102.4353
MEM 41.093750 1560018102.5353
MEM 47.738281 1560018102.6363
MEM 47.878906 1560018102.7372
MEM 47.878906 1560018102.8373
MEM 47.878906 1560018102.9383
MEM 47.878906 1560018103.0385
MEM 47.886719 1560018103.1394
MEM 47.886719 1560018103.2395
MEM 49.187500 1560018103.3395
MEM 55.921875 1560018103.4405
MEM 63.007812 1560018103.5406
MEM 67.832031 1560018103.6415
MEM 73.570312 1560018103.7426
MEM 76.367188 1560018103.8435
MEM 76.488281 1560018103.9436
MEM 76.964844 1560018104.0446
MEM 84.964844 1560018104.1446
MEM 89.042969 1560018104.2448
MEM 95.308594 1560018104.3448
MEM 115.820312 1560018104.4458
MEM 179.351562 1560018104.5458
MEM 187.683594 1560018104.6460
MEM 188.054688 1560018104.7460
MEM 189.406250 1560018104.8460
MEM 189.640625 1560018104.9460
MEM 193.417969 1560018105.0470
MEM 192.542969 1560018105.1470
MEM 195.878906 1560018105.2470
MEM 198.582031 1560018105.3480
MEM 200.957031 1560018105.4480
MEM 200.328125 1560018105.5480
MEM 203.531250 1560018105.6480
MEM 204.457031 1560018105.7490
MEM 207.058594 1560018105.8490
MEM 207.500000 1560018105.9500
MEM 214.238281 1560018106.0504
MEM 217.066406 1560018106.1514
MEM 221.097656 1560018106.2514
MEM 224.191406 1560018106.3524
MEM 225.632812 1560018106.4524
MEM 226.304688 1560018106.5534
MEM 230.039062 1560018106.6534
MEM 230.753906 1560018106.7544
MEM 231.531250 1560018106.8544
MEM 231.917969 1560018106.9554
MEM 234.761719 1560018107.0554
MEM 235.398438 1560018107.1564
MEM 237.031250 1560018107.2564
MEM 239.371094 1560018107.3572
MEM 241.890625 1560018107.4582
MEM 244.648438 1560018107.5591
MEM 247.656250 1560018107.6591
MEM 248.664062 1560018107.7592
MEM 251.890625 1560018107.8592
MEM 265.609375 1560018107.9601
MEM 266.898438 1560018108.0602
MEM 267.238281 1560018108.1602
MEM 264.160156 1560018108.2612
MEM 266.863281 1560018108.3612
MEM 267.007812 1560018108.4612
MEM 269.707031 1560018108.5612
MEM 270.046875 1560018108.6622
MEM 270.882812 1560018108.7622
MEM 271.148438 1560018108.8632
MEM 272.250000 1560018108.9632
MEM 274.210938 1560018109.0642
MEM 274.785156 1560018109.1652
MEM 276.960938 1560018109.2662
MEM 277.953125 1560018109.3662
MEM 279.082031 1560018109.4672
MEM 281.093750 1560018109.5682
MEM 282.347656 1560018109.6682
MEM 283.234375 1560018109.7687
MEM 286.136719 1560018109.8687
MEM 288.890625 1560018109.9693
MEM 287.644531 1560018110.0694
MEM 289.097656 1560018110.1700
MEM 292.976562 1560018110.2710
MEM 290.953125 1560018110.3718
MEM 292.617188 1560018110.4718
MEM 293.917969 1560018110.5728
MEM 295.542969 1560018110.6738
MEM 295.167969 1560018110.7738
MEM 296.230469 1560018110.8738
MEM 296.757812 1560018110.9738
MEM 298.996094 1560018111.0748
MEM 299.621094 1560018111.1748
MEM 300.753906 1560018111.2748
MEM 300.925781 1560018111.3748
MEM 301.390625 1560018111.4757
MEM 302.019531 1560018111.5758
MEM 302.367188 1560018111.6764
MEM 302.699219 1560018111.7774
MEM 302.957031 1560018111.8774
MEM 303.878906 1560018111.9782
MEM 304.035156 1560018112.0792
MEM 305.437500 1560018112.1800
MEM 305.441406 1560018112.2801
MEM 305.570312 1560018112.3802
MEM 307.121094 1560018112.4802
MEM 314.972656 1560018112.5812
MEM 320.566406 1560018112.6813
MEM 321.613281 1560018112.7822
MEM 322.562500 1560018112.8828
MEM 310.621094 1560018112.9828
MEM 313.199219 1560018113.0838
MEM 319.351562 1560018113.1847
MEM 321.167969 1560018113.2848
MEM 323.808594 1560018113.3848
MEM 290.085938 1560018113.4848
MEM 292.660156 1560018113.5858
MEM 294.597656 1560018113.6858
MEM 302.976562 1560018113.7868
MEM 308.332031 1560018113.8878
MEM 313.484375 1560018113.9878
MEM 317.980469 1560018114.0885
MEM 322.195312 1560018114.1895
MEM 322.382812 1560018114.2905
MEM 322.558594 1560018114.3905
MEM 325.019531 1560018114.4915
MEM 327.371094 1560018114.5925
MEM 327.371094 1560018114.6925
MEM 329.367188 1560018114.7925
MEM 329.792969 1560018114.8935
MEM 330.687500 1560018114.9935
MEM 335.664062 1560018115.0935
MEM 299.074219 1560018115.1935
MEM 299.375000 1560018115.2936
MEM 299.761719 1560018115.3937
MEM 303.300781 1560018115.4940
MEM 308.238281 1560018115.5940
MEM 314.011719 1560018115.6950
MEM 319.410156 1560018115.7951
MEM 319.691406 1560018115.8961
MEM 323.476562 1560018115.9971
MEM 327.707031 1560018116.0972
MEM 332.917969 1560018116.1981
MEM 337.402344 1560018116.2981
MEM 345.621094 1560018116.3982
MEM 354.445312 1560018116.4984
MEM 355.167969 1560018116.5994
MEM 357.648438 1560018116.7004
MEM 358.265625 1560018116.8004
MEM 364.421875 1560018116.9006
MEM 363.339844 1560018117.0015
MEM 329.445312 1560018117.1026
MEM 330.671875 1560018117.2026
MEM 336.011719 1560018117.3035
MEM 345.429688 1560018117.4036
MEM 348.207031 1560018117.5046
MEM 351.183594 1560018117.6047
MEM 356.722656 1560018117.7047
MEM 356.984375 1560018117.8051
MEM 356.988281 1560018117.9051
MEM 359.886719 1560018118.0061
MEM 372.273438 1560018118.1062
MEM 369.960938 1560018118.2067
MEM 371.925781 1560018118.3074
MEM 373.730469 1560018118.4075
MEM 376.089844 1560018118.5085
MEM 379.660156 1560018118.6089
MEM 382.371094 1560018118.7099
MEM 385.292969 1560018118.8102
MEM 425.890625 1560018118.9112
MEM 477.730469 1560018119.0122
MEM 471.984375 1560018119.1126
MEM 473.800781 1560018119.2136
MEM 475.535156 1560018119.3145
MEM 476.660156 1560018119.4145
MEM 477.808594 1560018119.5146
MEM 478.855469 1560018119.6155
MEM 479.492188 1560018119.7165
MEM 480.394531 1560018119.8176
MEM 484.332031 1560018119.9176
MEM 484.886719 1560018120.0186
MEM 487.769531 1560018120.1187
MEM 490.000000 1560018120.2196
MEM 493.656250 1560018120.3196
MEM 494.894531 1560018120.4196
MEM 495.503906 1560018120.5197
MEM 466.042969 1560018120.6207
MEM 469.070312 1560018120.7207
MEM 470.125000 1560018120.8216
MEM 472.437500 1560018120.9217
MEM 472.437500 1560018121.0227
MEM 474.628906 1560018121.1227
MEM 476.656250 1560018121.2227
MEM 477.902344 1560018121.3236
MEM 481.027344 1560018121.4246
MEM 484.148438 1560018121.5256
MEM 486.292969 1560018121.6257
MEM 490.312500 1560018121.7257
MEM 491.769531 1560018121.8266
MEM 495.238281 1560018121.9266
