CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.484375 1560018430.0341
MEM 13.519531 1560018430.1351
MEM 21.316406 1560018430.2361
MEM 27.363281 1560018430.3361
MEM 32.679688 1560018430.4371
MEM 41.683594 1560018430.5372
MEM 48.285156 1560018430.6382
MEM 48.285156 1560018430.7382
MEM 48.285156 1560018430.8391
MEM 48.285156 1560018430.9402
MEM 48.292969 1560018431.0412
MEM 48.292969 1560018431.1412
MEM 48.902344 1560018431.2422
MEM 55.820312 1560018431.3422
MEM 63.339844 1560018431.4431
MEM 67.757812 1560018431.5432
MEM 73.343750 1560018431.6440
MEM 76.113281 1560018431.7450
MEM 76.281250 1560018431.8460
MEM 76.582031 1560018431.9460
MEM 78.929688 1560018432.0470
MEM 83.097656 1560018432.1480
MEM 84.855469 1560018432.2490
MEM 102.976562 1560018432.3490
MEM 105.449219 1560018432.4500
MEM 105.539062 1560018432.5506
MEM 108.851562 1560018432.6507
MEM 108.941406 1560018432.7517
MEM 109.578125 1560018432.8526
MEM 109.769531 1560018432.9526
MEM 111.207031 1560018433.0526
MEM 111.281250 1560018433.1527
MEM 113.648438 1560018433.2532
MEM 114.347656 1560018433.3533
MEM 114.054688 1560018433.4534
MEM 114.859375 1560018433.5535
MEM 115.625000 1560018433.6536
MEM 117.527344 1560018433.7538
MEM 129.640625 1560018433.8538
MEM 133.062500 1560018433.9548
MEM 122.070312 1560018434.0549
MEM 123.425781 1560018434.1549
MEM 124.214844 1560018434.2549
MEM 124.683594 1560018434.3550
MEM 128.183594 1560018434.4560
MEM 125.253906 1560018434.5570
MEM 126.113281 1560018434.6579
MEM 128.046875 1560018434.7580
MEM 127.320312 1560018434.8580
MEM 127.796875 1560018434.9580
MEM 128.062500 1560018435.0580
MEM 128.195312 1560018435.1590
MEM 128.195312 1560018435.2592
MEM 128.203125 1560018435.3592
MEM 128.265625 1560018435.4592
MEM 128.390625 1560018435.5602
MEM 128.769531 1560018435.6602
MEM 129.085938 1560018435.7613
MEM 129.167969 1560018435.8623
MEM 136.933594 1560018435.9632
MEM 129.855469 1560018436.0633
MEM 131.414062 1560018436.1642
MEM 134.343750 1560018436.2652
MEM 137.941406 1560018436.3653
MEM 143.222656 1560018436.4662
MEM 144.210938 1560018436.5663
MEM 144.656250 1560018436.6672
MEM 148.722656 1560018436.7672
MEM 152.238281 1560018436.8672
MEM 152.804688 1560018436.9682
MEM 159.660156 1560018437.0692
MEM 160.535156 1560018437.1692
MEM 161.574219 1560018437.2702
MEM 161.339844 1560018437.3712
MEM 163.500000 1560018437.4712
MEM 164.339844 1560018437.5712
MEM 168.792969 1560018437.6722
MEM 166.175781 1560018437.7722
MEM 165.550781 1560018437.8722
MEM 166.058594 1560018437.9732
MEM 166.074219 1560018438.0732
MEM 166.074219 1560018438.1732
MEM 166.261719 1560018438.2742
MEM 184.039062 1560018438.3743
MEM 184.277344 1560018438.4753
MEM 184.992188 1560018438.5755
MEM 186.046875 1560018438.6765
MEM 187.257812 1560018438.7765
MEM 188.484375 1560018438.8766
MEM 189.929688 1560018438.9766
MEM 191.406250 1560018439.0776
MEM 192.226562 1560018439.1776
MEM 193.625000 1560018439.2786
MEM 194.871094 1560018439.3796
MEM 196.562500 1560018439.4806
MEM 205.828125 1560018439.5806
MEM 215.171875 1560018439.6806
MEM 220.968750 1560018439.7816
MEM 220.972656 1560018439.8818
MEM 220.972656 1560018439.9824
MEM 220.972656 1560018440.0825
MEM 220.972656 1560018440.1833
MEM 220.972656 1560018440.2841
MEM 220.972656 1560018440.3849
MEM 220.972656 1560018440.4857
MEM 220.972656 1560018440.5865
MEM 220.972656 1560018440.6871
MEM 220.976562 1560018440.7878
MEM 220.976562 1560018440.8878
MEM 220.976562 1560018440.9883
MEM 220.976562 1560018441.0885
MEM 220.976562 1560018441.1888
MEM 220.976562 1560018441.2897
MEM 220.976562 1560018441.3903
MEM 220.976562 1560018441.4906
MEM 220.976562 1560018441.5906
MEM 220.976562 1560018441.6907
MEM 220.976562 1560018441.7916
MEM 220.976562 1560018441.8924
MEM 220.976562 1560018441.9934
MEM 220.980469 1560018442.0935
MEM 220.980469 1560018442.1935
MEM 220.980469 1560018442.2935
MEM 220.980469 1560018442.3945
MEM 220.980469 1560018442.4947
MEM 220.980469 1560018442.5949
MEM 220.984375 1560018442.6949
MEM 221.000000 1560018442.7952
MEM 221.007812 1560018442.8960
MEM 221.015625 1560018442.9963
MEM 221.027344 1560018443.0963
MEM 221.031250 1560018443.1966
MEM 221.039062 1560018443.2974
MEM 221.046875 1560018443.3975
MEM 221.109375 1560018443.4983
MEM 221.531250 1560018443.5986
MEM 221.531250 1560018443.6989
MEM 221.554688 1560018443.7990
MEM 221.554688 1560018443.8991
MEM 221.554688 1560018443.9999
MEM 221.554688 1560018444.1004
MEM 221.554688 1560018444.2009
MEM 221.554688 1560018444.3019
MEM 221.574219 1560018444.4026
MEM 230.519531 1560018444.5029
MEM 239.457031 1560018444.6039
MEM 246.492188 1560018444.7039
MEM 246.492188 1560018444.8050
MEM 246.492188 1560018444.9052
MEM 246.492188 1560018445.0062
MEM 246.492188 1560018445.1064
MEM 246.492188 1560018445.2070
MEM 246.492188 1560018445.3074
MEM 246.492188 1560018445.4083
MEM 246.492188 1560018445.5092
MEM 246.492188 1560018445.6094
MEM 246.496094 1560018445.7104
MEM 246.496094 1560018445.8104
MEM 246.496094 1560018445.9108
MEM 246.496094 1560018446.0108
MEM 246.496094 1560018446.1108
MEM 246.496094 1560018446.2114
MEM 246.496094 1560018446.3119
MEM 246.496094 1560018446.4126
MEM 246.496094 1560018446.5126
MEM 246.496094 1560018446.6133
MEM 246.500000 1560018446.7133
MEM 246.500000 1560018446.8134
MEM 246.500000 1560018446.9136
MEM 246.500000 1560018447.0146
MEM 246.500000 1560018447.1156
MEM 246.500000 1560018447.2166
MEM 246.500000 1560018447.3166
MEM 246.500000 1560018447.4174
MEM 246.500000 1560018447.5183
MEM 246.500000 1560018447.6183
MEM 246.500000 1560018447.7193
MEM 246.500000 1560018447.8194
MEM 246.500000 1560018447.9203
MEM 246.500000 1560018448.0204
MEM 246.500000 1560018448.1204
MEM 246.500000 1560018448.2214
MEM 246.500000 1560018448.3221
MEM 246.500000 1560018448.4223
MEM 246.500000 1560018448.5228
MEM 246.500000 1560018448.6240
MEM 246.500000 1560018448.7244
MEM 246.500000 1560018448.8248
MEM 246.500000 1560018448.9258
MEM 246.500000 1560018449.0265
MEM 246.500000 1560018449.1265
MEM 246.500000 1560018449.2265
MEM 246.500000 1560018449.3267
MEM 246.500000 1560018449.4270
MEM 246.503906 1560018449.5280
MEM 246.503906 1560018449.6283
MEM 250.804688 1560018449.7291
MEM 263.253906 1560018449.8292
MEM 254.691406 1560018449.9302
MEM 267.457031 1560018450.0302
MEM 278.023438 1560018450.1312
MEM 267.316406 1560018450.2312
MEM 267.332031 1560018450.3322
MEM 268.156250 1560018450.4322
MEM 264.359375 1560018450.5332
MEM 274.253906 1560018450.6332
MEM 266.449219 1560018450.7342
MEM 266.445312 1560018450.8342
MEM 266.445312 1560018450.9352
MEM 266.445312 1560018451.0352
MEM 266.453125 1560018451.1358
MEM 266.792969 1560018451.2368
MEM 267.292969 1560018451.3368
MEM 267.292969 1560018451.4369
MEM 267.292969 1560018451.5379
MEM 267.292969 1560018451.6379
MEM 267.292969 1560018451.7382
MEM 267.292969 1560018451.8382
MEM 267.292969 1560018451.9382
MEM 267.292969 1560018452.0392
MEM 267.449219 1560018452.1402
MEM 267.449219 1560018452.2402
MEM 267.449219 1560018452.3402
MEM 267.679688 1560018452.4403
MEM 267.882812 1560018452.5403
MEM 268.039062 1560018452.6405
MEM 268.265625 1560018452.7405
MEM 268.300781 1560018452.8405
MEM 269.070312 1560018452.9415
MEM 289.625000 1560018453.0415
MEM 298.281250 1560018453.1415
MEM 275.433594 1560018453.2416
MEM 275.433594 1560018453.3425
MEM 275.429688 1560018453.4435
MEM 275.429688 1560018453.5445
MEM 275.957031 1560018453.6448
MEM 276.367188 1560018453.7448
MEM 277.609375 1560018453.8453
MEM 279.039062 1560018453.9458
MEM 276.554688 1560018454.0458
MEM 276.562500 1560018454.1459
MEM 277.941406 1560018454.2468
MEM 286.035156 1560018454.3468
MEM 286.054688 1560018454.4478
MEM 287.695312 1560018454.5488
MEM 289.453125 1560018454.6498
MEM 289.542969 1560018454.7508
MEM 289.785156 1560018454.8508
MEM 292.132812 1560018454.9516
MEM 292.277344 1560018455.0526
MEM 295.250000 1560018455.1526
MEM 296.855469 1560018455.2536
MEM 299.000000 1560018455.3537
MEM 299.363281 1560018455.4547
MEM 301.253906 1560018455.5557
MEM 301.957031 1560018455.6557
MEM 304.867188 1560018455.7558
MEM 305.101562 1560018455.8567
MEM 305.636719 1560018455.9567
MEM 309.621094 1560018456.0577
MEM 308.585938 1560018456.1587
MEM 310.535156 1560018456.2587
MEM 310.851562 1560018456.3593
MEM 314.101562 1560018456.4594
MEM 313.972656 1560018456.5594
MEM 316.843750 1560018456.6604
MEM 318.070312 1560018456.7604
MEM 317.441406 1560018456.8604
MEM 319.296875 1560018456.9614
MEM 322.183594 1560018457.0624
MEM 321.152344 1560018457.1624
MEM 322.070312 1560018457.2634
MEM 323.777344 1560018457.3644
MEM 324.785156 1560018457.4654
MEM 326.765625 1560018457.5663
MEM 326.527344 1560018457.6664
MEM 330.332031 1560018457.7674
MEM 329.339844 1560018457.8683
MEM 331.664062 1560018457.9693
MEM 331.113281 1560018458.0694
MEM 331.570312 1560018458.1694
MEM 332.734375 1560018458.2703
MEM 335.691406 1560018458.3704
MEM 336.367188 1560018458.4714
MEM 335.769531 1560018458.5724
MEM 337.347656 1560018458.6733
MEM 338.156250 1560018458.7734
MEM 338.843750 1560018458.8734
MEM 341.800781 1560018458.9744
MEM 342.269531 1560018459.0753
MEM 342.730469 1560018459.1754
MEM 344.750000 1560018459.2764
MEM 345.242188 1560018459.3774
MEM 345.804688 1560018459.4783
MEM 346.933594 1560018459.5783
MEM 346.933594 1560018459.6783
MEM 347.457031 1560018459.7784
MEM 349.003906 1560018459.8794
MEM 349.085938 1560018459.9794
MEM 349.988281 1560018460.0803
MEM 350.984375 1560018460.1804
MEM 351.328125 1560018460.2813
MEM 354.070312 1560018460.3816
MEM 354.242188 1560018460.4825
MEM 355.304688 1560018460.5831
MEM 356.117188 1560018460.6831
MEM 357.601562 1560018460.7833
MEM 358.992188 1560018460.8843
MEM 359.574219 1560018460.9844
MEM 362.457031 1560018461.0844
MEM 361.335938 1560018461.1853
MEM 362.679688 1560018461.2854
MEM 363.503906 1560018461.3854
MEM 364.300781 1560018461.4854
MEM 367.238281 1560018461.5863
MEM 367.976562 1560018461.6864
MEM 368.839844 1560018461.7865
MEM 369.593750 1560018461.8866
MEM 370.242188 1560018461.9875
MEM 371.171875 1560018462.0876
MEM 372.261719 1560018462.1885
MEM 374.359375 1560018462.2885
MEM 376.281250 1560018462.3885
MEM 377.550781 1560018462.4895
MEM 378.804688 1560018462.5901
MEM 380.597656 1560018462.6902
MEM 380.398438 1560018462.7908
MEM 382.058594 1560018462.8918
MEM 383.863281 1560018462.9918
MEM 386.894531 1560018463.0928
MEM 386.824219 1560018463.1929
MEM 386.746094 1560018463.2929
MEM 388.386719 1560018463.3939
MEM 390.855469 1560018463.4939
MEM 390.613281 1560018463.5948
MEM 392.855469 1560018463.6949
MEM 394.753906 1560018463.7959
MEM 395.238281 1560018463.8968
MEM 396.136719 1560018463.9969
MEM 396.949219 1560018464.0979
MEM 399.382812 1560018464.1988
MEM 400.847656 1560018464.2989
MEM 403.496094 1560018464.3989
MEM 404.625000 1560018464.4991
MEM 406.402344 1560018464.6000
MEM 406.433594 1560018464.7000
MEM 407.898438 1560018464.8011
MEM 407.117188 1560018464.9011
MEM 408.757812 1560018465.0020
MEM 409.761719 1560018465.1021
MEM 409.886719 1560018465.2031
MEM 412.156250 1560018465.3032
MEM 414.046875 1560018465.4042
MEM 415.695312 1560018465.5042
MEM 416.707031 1560018465.6048
MEM 417.988281 1560018465.7058
MEM 419.800781 1560018465.8058
MEM 421.710938 1560018465.9065
MEM 421.992188 1560018466.0065
MEM 425.132812 1560018466.1075
MEM 427.835938 1560018466.2075
MEM 429.562500 1560018466.3085
MEM 429.500000 1560018466.4085
MEM 430.574219 1560018466.5085
MEM 432.390625 1560018466.6095
MEM 435.687500 1560018466.7105
MEM 435.519531 1560018466.8105
MEM 438.007812 1560018466.9105
MEM 437.234375 1560018467.0115
MEM 439.722656 1560018467.1125
MEM 440.972656 1560018467.2131
MEM 442.148438 1560018467.3131
MEM 443.195312 1560018467.4141
MEM 445.550781 1560018467.5141
MEM 446.437500 1560018467.6151
MEM 448.179688 1560018467.7151
MEM 449.625000 1560018467.8161
MEM 451.910156 1560018467.9161
MEM 451.574219 1560018468.0170
MEM 455.664062 1560018468.1171
MEM 456.718750 1560018468.2180
MEM 456.945312 1560018468.3181
MEM 459.984375 1560018468.4190
MEM 460.367188 1560018468.5191
MEM 463.121094 1560018468.6200
MEM 464.542969 1560018468.7201
MEM 467.140625 1560018468.8210
MEM 469.128906 1560018468.9210
MEM 470.226562 1560018469.0211
MEM 472.394531 1560018469.1220
MEM 473.843750 1560018469.2221
MEM 476.750000 1560018469.3230
MEM 477.695312 1560018469.4231
MEM 480.792969 1560018469.5231
MEM 481.621094 1560018469.6240
MEM 483.109375 1560018469.7250
MEM 485.917969 1560018469.8251
MEM 487.609375 1560018469.9261
MEM 489.582031 1560018470.0270
MEM 489.996094 1560018470.1271
MEM 492.816406 1560018470.2280
MEM 495.199219 1560018470.3282
MEM 496.425781 1560018470.4282
MEM 497.144531 1560018470.5282
MEM 499.558594 1560018470.6292
MEM 501.425781 1560018470.7302
MEM 502.667969 1560018470.8303
MEM 506.492188 1560018470.9303
MEM 508.468750 1560018471.0303
MEM 510.839844 1560018471.1304
MEM 513.363281 1560018471.2304
MEM 515.257812 1560018471.3310
MEM 517.207031 1560018471.4310
MEM 519.679688 1560018471.5320
MEM 524.050781 1560018471.6330
MEM 524.781250 1560018471.7330
MEM 527.730469 1560018471.8340
MEM 529.148438 1560018471.9340
MEM 530.878906 1560018472.0350
MEM 534.722656 1560018472.1350
MEM 537.832031 1560018472.2350
MEM 540.371094 1560018472.3360
MEM 540.898438 1560018472.4360
MEM 545.195312 1560018472.5370
MEM 548.187500 1560018472.6371
MEM 549.832031 1560018472.7381
MEM 552.753906 1560018472.8381
MEM 555.902344 1560018472.9381
MEM 557.113281 1560018473.0391
MEM 559.179688 1560018473.1391
MEM 561.281250 1560018473.2393
MEM 565.511719 1560018473.3393
MEM 568.289062 1560018473.4403
MEM 571.160156 1560018473.5403
MEM 574.160156 1560018473.6413
MEM 578.445312 1560018473.7413
MEM 578.792969 1560018473.8423
MEM 581.828125 1560018473.9423
MEM 585.437500 1560018474.0425
MEM 588.703125 1560018474.1435
MEM 591.324219 1560018474.2435
MEM 595.347656 1560018474.3445
MEM 597.410156 1560018474.4445
MEM 599.617188 1560018474.5455
MEM 602.453125 1560018474.6465
MEM 607.207031 1560018474.7465
MEM 609.500000 1560018474.8475
MEM 611.480469 1560018474.9485
MEM 613.144531 1560018475.0485
MEM 615.835938 1560018475.1495
MEM 618.269531 1560018475.2505
MEM 621.246094 1560018475.3511
MEM 624.671875 1560018475.4511
MEM 625.328125 1560018475.5512
MEM 629.738281 1560018475.6512
MEM 631.851562 1560018475.7512
MEM 633.281250 1560018475.8512
MEM 635.644531 1560018475.9513
MEM 640.082031 1560018476.0523
MEM 639.945312 1560018476.1524
MEM 642.664062 1560018476.2524
MEM 646.359375 1560018476.3524
MEM 647.292969 1560018476.4529
MEM 649.968750 1560018476.5539
MEM 652.808594 1560018476.6539
MEM 656.000000 1560018476.7540
MEM 657.878906 1560018476.8549
MEM 660.968750 1560018476.9549
MEM 662.945312 1560018477.0559
MEM 666.382812 1560018477.1568
MEM 670.609375 1560018477.2569
MEM 671.312500 1560018477.3570
MEM 673.113281 1560018477.4579
MEM 677.601562 1560018477.5579
MEM 679.984375 1560018477.6580
MEM 680.171875 1560018477.7580
MEM 683.699219 1560018477.8587
MEM 687.921875 1560018477.9590
MEM 689.121094 1560018478.0590
MEM 691.500000 1560018478.1599
MEM 695.398438 1560018478.2609
MEM 696.515625 1560018478.3610
MEM 699.699219 1560018478.4611
MEM 701.609375 1560018478.5620
MEM 702.171875 1560018478.6620
MEM 705.253906 1560018478.7630
MEM 707.804688 1560018478.8630
MEM 709.417969 1560018478.9631
MEM 713.750000 1560018479.0640
MEM 714.285156 1560018479.1640
MEM 717.226562 1560018479.2641
MEM 719.781250 1560018479.3650
MEM 721.898438 1560018479.4651
MEM 723.441406 1560018479.5651
MEM 726.414062 1560018479.6651
MEM 730.183594 1560018479.7661
MEM 731.160156 1560018479.8670
MEM 734.199219 1560018479.9671
MEM 737.468750 1560018480.0680
MEM 739.140625 1560018480.1690
MEM 741.742188 1560018480.2691
MEM 744.320312 1560018480.3691
MEM 747.613281 1560018480.4701
MEM 751.074219 1560018480.5710
MEM 754.046875 1560018480.6710
MEM 757.414062 1560018480.7711
MEM 759.527344 1560018480.8721
MEM 762.132812 1560018480.9731
MEM 765.136719 1560018481.0741
MEM 766.773438 1560018481.1751
MEM 769.699219 1560018481.2751
MEM 771.929688 1560018481.3761
MEM 774.511719 1560018481.4761
MEM 777.343750 1560018481.5761
MEM 780.089844 1560018481.6771
MEM 784.527344 1560018481.7781
MEM 785.050781 1560018481.8781
MEM 785.050781 1560018481.9791
MEM 785.058594 1560018482.0791
MEM 787.046875 1560018482.1791
MEM 787.355469 1560018482.2791
MEM 787.812500 1560018482.3801
MEM 787.812500 1560018482.4811
MEM 787.964844 1560018482.5811
MEM 788.117188 1560018482.6821
MEM 788.269531 1560018482.7821
MEM 789.968750 1560018482.8831
MEM 791.507812 1560018482.9831
MEM 792.894531 1560018483.0832
MEM 794.433594 1560018483.1832
MEM 795.976562 1560018483.2842
MEM 797.515625 1560018483.3852
MEM 798.902344 1560018483.4853
MEM 800.441406 1560018483.5859
MEM 801.980469 1560018483.6859
MEM 803.519531 1560018483.7869
MEM 805.058594 1560018483.8869
MEM 806.445312 1560018483.9879
MEM 807.992188 1560018484.0879
MEM 809.527344 1560018484.1879
MEM 810.921875 1560018484.2879
MEM 812.460938 1560018484.3889
MEM 814.003906 1560018484.4899
MEM 815.542969 1560018484.5904
MEM 817.082031 1560018484.6905
MEM 818.468750 1560018484.7905
MEM 820.015625 1560018484.8905
MEM 821.929688 1560018484.9906
MEM 824.183594 1560018485.0910
MEM 825.949219 1560018485.1911
MEM 828.933594 1560018485.2911
MEM 832.113281 1560018485.3912
MEM 835.636719 1560018485.4922
MEM 838.820312 1560018485.5928
MEM 842.437500 1560018485.6934
MEM 845.960938 1560018485.7934
MEM 849.492188 1560018485.8944
MEM 852.773438 1560018485.9944
MEM 856.730469 1560018486.0954
MEM 859.914062 1560018486.1964
MEM 863.093750 1560018486.2974
MEM 866.710938 1560018486.3974
MEM 870.238281 1560018486.4974
MEM 873.847656 1560018486.5984
MEM 877.035156 1560018486.6984
MEM 880.992188 1560018486.7994
MEM 884.175781 1560018486.8994
MEM 888.128906 1560018487.0004
MEM 890.964844 1560018487.1004
MEM 894.496094 1560018487.2014
MEM 898.105469 1560018487.3014
MEM 901.699219 1560018487.4014
MEM 904.968750 1560018487.5024
MEM 908.839844 1560018487.6024
MEM 911.421875 1560018487.7026
MEM 914.945312 1560018487.8036
MEM 919.203125 1560018487.9036
MEM 922.046875 1560018488.0036
MEM 926.058594 1560018488.1036
MEM 929.468750 1560018488.2046
MEM 930.722656 1560018488.3046
MEM 931.445312 1560018488.4056
MEM 932.351562 1560018488.5057
MEM 933.597656 1560018488.6057
MEM 934.910156 1560018488.7063
MEM 936.003906 1560018488.8063
MEM 937.097656 1560018488.9073
MEM 938.125000 1560018489.0073
MEM 939.882812 1560018489.1083
MEM 941.328125 1560018489.2093
MEM 942.484375 1560018489.3093
MEM 944.027344 1560018489.4103
MEM 945.410156 1560018489.5103
MEM 946.949219 1560018489.6103
MEM 948.488281 1560018489.7113
MEM 950.343750 1560018489.8123
MEM 951.726562 1560018489.9123
MEM 953.269531 1560018490.0133
MEM 954.656250 1560018490.1133
MEM 956.195312 1560018490.2133
MEM 957.730469 1560018490.3143
MEM 959.121094 1560018490.4144
MEM 960.660156 1560018490.5153
MEM 962.078125 1560018490.6163
MEM 964.000000 1560018490.7163
MEM 966.378906 1560018490.8173
MEM 968.019531 1560018490.9183
MEM 970.125000 1560018491.0193
MEM 972.656250 1560018491.1193
MEM 974.136719 1560018491.2203
MEM 976.050781 1560018491.3203
MEM 978.429688 1560018491.4213
MEM 980.082031 1560018491.5223
MEM 982.582031 1560018491.6223
MEM 985.921875 1560018491.7233
MEM 989.191406 1560018491.8236
MEM 993.054688 1560018491.9236
MEM 996.328125 1560018492.0236
MEM 1000.281250 1560018492.1246
MEM 1003.464844 1560018492.2246
MEM 1007.433594 1560018492.3256
MEM 1010.636719 1560018492.4266
MEM 1013.816406 1560018492.5276
MEM 1017.425781 1560018492.6277
MEM 1020.957031 1560018492.7286
MEM 1024.566406 1560018492.8287
MEM 1028.093750 1560018492.9297
MEM 1031.363281 1560018493.0297
MEM 1035.238281 1560018493.1307
MEM 1038.507812 1560018493.2307
