[2018-11-24 21:08:03,780]: Pygame parameters:
 

[2018-11-24 21:09:40,733]: Pygame parameters:
%s 

[2018-11-24 21:09:40,734]: FPS: 60
%s 

[2018-11-24 21:10:40,601]: ----Pygame parameters----%s 

[2018-11-24 21:10:40,601]: FPS: 60%s 

[2018-11-24 21:10:40,602]: RESOLUTION: (1280, 720)%s 

[2018-11-24 21:23:28,261]: ----Pygame parameters---- 

[2018-11-24 21:24:44,967]: ----Pygame parameters---- 

[2018-11-24 21:24:44,968]: FPS: 60 

[2018-11-24 21:24:44,968]: RESOLUTION: (1280, 720) 

[2018-11-24 21:26:53,586]: ----Pygame parameters---- 

[2018-11-24 21:26:53,586]: FPS: 60 

[2018-11-24 21:26:53,586]: RESOLUTION: (1280, 720) 

[2018-11-24 21:27:21,608]: ----Pygame parameters---- 

[2018-11-24 21:27:21,608]: FPS: 60 
[2018-11-24 21:27:22,178]: Received event <Event(4-MouseMotion {pos: (943, 31), rel: (-1, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,189]: Received event <Event(4-MouseMotion {pos: (942, 29), rel: (-1, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,199]: Received event <Event(4-MouseMotion {pos: (941, 27), rel: (-1, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,208]: Received event <Event(4-MouseMotion {pos: (940, 24), rel: (-1, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,218]: Received event <Event(4-MouseMotion {pos: (939, 21), rel: (-1, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,228]: Received event <Event(4-MouseMotion {pos: (937, 19), rel: (-2, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,239]: Received event <Event(4-MouseMotion {pos: (936, 17), rel: (-1, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,249]: Received event <Event(4-MouseMotion {pos: (935, 15), rel: (-1, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,259]: Received event <Event(4-MouseMotion {pos: (935, 13), rel: (0, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,269]: Received event <Event(4-MouseMotion {pos: (934, 12), rel: (-1, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,279]: Received event <Event(4-MouseMotion {pos: (934, 11), rel: (0, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,289]: Received event <Event(4-MouseMotion {pos: (933, 10), rel: (-1, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,300]: Received event <Event(4-MouseMotion {pos: (932, 9), rel: (-1, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,310]: Received event <Event(4-MouseMotion {pos: (932, 8), rel: (0, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,320]: Received event <Event(4-MouseMotion {pos: (931, 7), rel: (-1, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,340]: Received event <Event(4-MouseMotion {pos: (931, 6), rel: (0, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,350]: Received event <Event(4-MouseMotion {pos: (930, 5), rel: (-1, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,370]: Received event <Event(4-MouseMotion {pos: (929, 4), rel: (-1, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,459]: Received event <Event(4-MouseMotion {pos: (928, 3), rel: (-1, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,469]: Received event <Event(4-MouseMotion {pos: (928, 2), rel: (0, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,480]: Received event <Event(4-MouseMotion {pos: (927, 0), rel: (-1, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,490]: Received event <Event(1-ActiveEvent {gain: 0, state: 1})>" 

[2018-11-24 21:27:22,937]: Received event <Event(1-ActiveEvent {gain: 1, state: 1})>" 

[2018-11-24 21:27:22,938]: Received event <Event(4-MouseMotion {pos: (911, 5), rel: (-16, 5), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,948]: Received event <Event(4-MouseMotion {pos: (906, 13), rel: (-5, 8), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,958]: Received event <Event(4-MouseMotion {pos: (900, 23), rel: (-6, 10), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,969]: Received event <Event(4-MouseMotion {pos: (893, 36), rel: (-7, 13), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,979]: Received event <Event(4-MouseMotion {pos: (887, 49), rel: (-6, 13), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,990]: Received event <Event(4-MouseMotion {pos: (881, 63), rel: (-6, 14), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,000]: Received event <Event(4-MouseMotion {pos: (877, 80), rel: (-4, 17), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,012]: Received event <Event(4-MouseMotion {pos: (872, 104), rel: (-5, 24), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,023]: Received event <Event(4-MouseMotion {pos: (868, 131), rel: (-4, 27), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,034]: Received event <Event(4-MouseMotion {pos: (863, 152), rel: (-5, 21), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,045]: Received event <Event(4-MouseMotion {pos: (860, 176), rel: (-3, 24), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,056]: Received event <Event(4-MouseMotion {pos: (856, 202), rel: (-4, 26), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,067]: Received event <Event(4-MouseMotion {pos: (854, 221), rel: (-2, 19), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,077]: Received event <Event(4-MouseMotion {pos: (852, 237), rel: (-2, 16), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,087]: Received event <Event(4-MouseMotion {pos: (850, 255), rel: (-2, 18), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,097]: Received event <Event(4-MouseMotion {pos: (850, 272), rel: (0, 17), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,107]: Received event <Event(4-MouseMotion {pos: (850, 287), rel: (0, 15), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,118]: Received event <Event(4-MouseMotion {pos: (849, 301), rel: (-1, 14), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,129]: Received event <Event(4-MouseMotion {pos: (847, 317), rel: (-2, 16), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,140]: Received event <Event(4-MouseMotion {pos: (847, 329), rel: (0, 12), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,150]: Received event <Event(4-MouseMotion {pos: (847, 339), rel: (0, 10), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,161]: Received event <Event(4-MouseMotion {pos: (847, 346), rel: (0, 7), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,172]: Received event <Event(4-MouseMotion {pos: (847, 353), rel: (0, 7), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,183]: Received event <Event(4-MouseMotion {pos: (847, 357), rel: (0, 4), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,193]: Received event <Event(4-MouseMotion {pos: (848, 360), rel: (1, 3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,204]: Received event <Event(4-MouseMotion {pos: (848, 361), rel: (0, 1), buttons: (0, 0, 0)})>" 

